timestamp,switch,dpid,in_port,src_mac,dst_mac,src_ip,dst_ip,protocole,src_port,dst_port,taille_paquet,label,
2026-05-29 16:08:02,OVS-3_Switch,174256918948943,4,08:00:27:08:91:79,33:33:00:00:00:fb,2001:4278:19:e9cd::253,ff02::fb,UDP,0,5353,5353,101,0
2026-05-29 16:08:15,OVS-1_Core,257354300580419,2,08:00:27:99:31:0b,33:33:00:00:00:16,::,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:15,OVS-3_Switch,174256918948943,4,08:00:27:99:31:0b,33:33:00:00:00:16,::,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:15,OVS-2_Switch,218158957599049,19,08:00:27:99:31:0b,33:33:00:00:00:16,::,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:15,OVS-1_Core,257354300580419,2,08:00:27:99:31:0b,33:33:00:00:00:16,::,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:15,OVS-3_Switch,174256918948943,4,08:00:27:99:31:0b,33:33:00:00:00:16,::,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:15,OVS-2_Switch,218158957599049,19,08:00:27:99:31:0b,33:33:00:00:00:16,::,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:16,OVS-1_Core,257354300580419,2,08:00:27:99:31:0b,33:33:00:00:00:16,fe80::a00:27ff:fe99:310b,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:16,OVS-1_Core,257354300580419,2,08:00:27:99:31:0b,33:33:00:00:00:16,fe80::a00:27ff:fe99:310b,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:16,OVS-3_Switch,174256918948943,4,08:00:27:99:31:0b,33:33:00:00:00:16,fe80::a00:27ff:fe99:310b,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:16,OVS-2_Switch,218158957599049,19,08:00:27:99:31:0b,33:33:00:00:00:16,fe80::a00:27ff:fe99:310b,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:17,OVS-3_Switch,174256918948943,4,08:00:27:99:31:0b,33:33:00:00:00:16,fe80::a00:27ff:fe99:310b,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:17,OVS-2_Switch,218158957599049,19,08:00:27:99:31:0b,33:33:00:00:00:16,fe80::a00:27ff:fe99:310b,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:17,OVS-1_Core,257354300580419,2,08:00:27:99:31:0b,33:33:00:00:00:16,fe80::a00:27ff:fe99:310b,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:17,OVS-3_Switch,174256918948943,4,08:00:27:99:31:0b,33:33:00:00:00:16,fe80::a00:27ff:fe99:310b,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:17,OVS-2_Switch,218158957599049,19,08:00:27:99:31:0b,33:33:00:00:00:16,fe80::a00:27ff:fe99:310b,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:17,OVS-1_Core,257354300580419,2,08:00:27:99:31:0b,33:33:00:00:00:16,fe80::a00:27ff:fe99:310b,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:17,OVS-3_Switch,174256918948943,4,08:00:27:99:31:0b,33:33:00:00:00:16,fe80::a00:27ff:fe99:310b,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:08:17,OVS-2_Switch,218158957599049,19,08:00:27:99:31:0b,33:33:00:00:00:16,fe80::a00:27ff:fe99:310b,ff02::16,ICMPv6_143,143,0,0,90,0
2026-05-29 16:09:38,OVS-3_Switch,174256918948943,4294967294,9e:7c:59:c0:ec:4f,ea:0f:f7:aa:e2:43,2001:4278:19:e9cd::3,2001:4278:19:e9cd::1,PING_REQUEST,128,0,0,118,0
2026-05-29 16:09:38,OVS-1_Core,257354300580419,4,9e:7c:59:c0:ec:4f,ea:0f:f7:aa:e2:43,2001:4278:19:e9cd::3,2001:4278:19:e9cd::1,PING_REQUEST,128,0,0,118,0
2026-05-29 16:09:38,OVS-2_Switch,218158957599049,19,9e:7c:59:c0:ec:4f,ea:0f:f7:aa:e2:43,2001:4278:19:e9cd::3,2001:4278:19:e9cd::1,PING_REQUEST,128,0,0,118,0
2026-05-29 16:09:38,OVS-1_Core,257354300580419,4294967294,ea:0f:f7:aa:e2:43,9e:7c:59:c0:ec:4f,2001:4278:19:e9cd::1,2001:4278:19:e9cd::3,PING_REPLY,129,0,0,118,0
2026-05-29 16:09:38,OVS-3_Switch,174256918948943,4,ea:0f:f7:aa:e2:43,9e:7c:59:c0:ec:4f,2001:4278:19:e9cd::1,2001:4278:19:e9cd::3,PING_REPLY,129,0,0,118,0
2026-05-29 16:09:39,OVS-3_Switch,174256918948943,4294967294,9e:7c:59:c0:ec:4f,ea:0f:f7:aa:e2:43,2001:4278:19:e9cd::3,2001:4278:19:e9cd::1,PING_REQUEST,128,0,0,118,0
2026-05-29 16:09:39,OVS-1_Core,257354300580419,4,9e:7c:59:c0:ec:4f,ea:0f:f7:aa:e2:43,2001:4278:19:e9cd::3,2001:4278:19:e9cd::1,PING_REQUEST,128,0,0,118,0
2026-05-29 16:09:48,OVS-3_Switch,174256918948943,4294967294,9e:7c:59:c0:ec:4f,08:00:27:d3:7e:50,2001:4278:19:e9cd::3,2001:4278:19:e9cd::10,PING_REQUEST,128,0,0,118,0
2026-05-29 16:09:48,OVS-1_Core,257354300580419,4,9e:7c:59:c0:ec:4f,08:00:27:d3:7e:50,2001:4278:19:e9cd::3,2001:4278:19:e9cd::10,PING_REQUEST,128,0,0,118,0
2026-05-29 16:09:48,OVS-1_Core,257354300580419,1,08:00:27:d3:7e:50,9e:7c:59:c0:ec:4f,2001:4278:19:e9cd::10,2001:4278:19:e9cd::3,PING_REPLY,129,0,0,118,0
2026-05-29 16:09:48,OVS-2_Switch,218158957599049,19,9e:7c:59:c0:ec:4f,08:00:27:d3:7e:50,2001:4278:19:e9cd::3,2001:4278:19:e9cd::10,PING_REQUEST,128,0,0,118,0
2026-05-29 16:09:49,OVS-3_Switch,174256918948943,4294967294,9e:7c:59:c0:ec:4f,08:00:27:d3:7e:50,2001:4278:19:e9cd::3,2001:4278:19:e9cd::10,PING_REQUEST,128,0,0,118,0
